entry_utc,exit_utc,closest_approach_utc,duration_hours,min_distance_from_earth_center_km,min_distance_earth_radii
1926-01-14 15:09:07,1926-01-14 23:01:46,1926-01-14 19:05:27,7.88,5766,0.905
1928-06-16 04:52:52,1928-06-16 23:12:05,1928-06-16 14:03:13,18.32,2110,0.331
1928-06-29 20:54:25,1928-06-30 08:00:18,1928-06-30 02:26:21,11.10,5538,0.869
1928-07-13 16:20:37,1928-07-14 13:39:26,1928-07-14 03:02:31,21.31,1545,0.243
1928-07-27 00:51:50,1928-07-27 19:11:38,1928-07-27 09:58:44,18.33,3689,0.579
1928-08-09 15:26:58,1928-08-10 16:13:02,1928-08-10 03:52:15,24.77,623,0.098
1928-08-23 04:33:49,1928-08-24 00:26:59,1928-08-23 14:29:39,19.89,2851,0.447
1928-09-19 08:25:52,1928-09-20 05:27:03,1928-09-19 18:59:13,21.02,1878,0.295
1928-10-16 15:22:09,1928-10-17 13:11:24,1928-10-17 02:20:31,21.82,140,0.022
1928-10-30 01:47:20,1928-10-30 15:08:52,1928-10-30 08:27:36,13.36,4571,0.718
1928-11-13 04:26:47,1928-11-13 22:20:53,1928-11-13 13:24:35,17.90,3589,0.563
1928-11-27 00:58:37,1928-11-27 15:20:55,1928-11-27 08:10:01,14.37,3858,0.606
1931-04-29 19:48:34,1931-04-30 13:59:33,1931-04-30 04:55:04,18.18,3061,0.480
1931-05-27 01:22:26,1931-05-27 23:33:59,1931-05-27 12:30:43,22.19,2284,0.358
1931-08-30 04:38:26,1931-08-30 22:28:54,1931-08-30 13:35:25,17.84,3615,0.567
1931-09-12 18:13:01,1931-09-13 03:44:05,1931-09-12 22:58:18,9.52,5470,0.859
1931-09-26 15:45:48,1931-09-27 13:09:51,1931-09-27 02:27:34,21.40,796,0.125
1931-10-10 13:53:01,1931-10-11 06:35:35,1931-10-10 22:14:48,16.71,2618,0.411
1931-10-24 08:59:39,1931-10-24 21:49:10,1931-10-24 15:23:25,12.83,5140,0.807
1932-01-27 05:36:45,1932-01-28 01:41:16,1932-01-27 15:36:30,20.08,3460,0.543
1932-02-23 19:58:57,1932-02-24 07:13:50,1932-02-24 01:35:53,11.25,5338,0.838
1934-07-26 10:39:32,1934-07-26 20:16:32,1934-07-26 15:27:47,9.62,5419,0.851
1934-08-09 04:50:54,1934-08-10 00:46:26,1934-08-09 14:47:40,19.93,2491,0.391
1934-08-23 03:59:42,1934-08-23 22:09:41,1934-08-23 13:05:42,18.17,1855,0.291
1934-09-05 16:17:37,1934-09-06 13:34:47,1934-09-06 02:51:57,21.29,1491,0.234
1934-10-03 02:08:51,1934-10-03 19:59:29,1934-10-03 11:01:10,17.84,3743,0.587
1934-10-16 23:15:15,1934-10-17 09:14:20,1934-10-17 04:15:02,9.98,5849,0.918
1934-10-30 07:43:13,1934-10-30 23:08:23,1934-10-30 15:25:33,15.42,4568,0.717
1934-11-12 09:10:24,1934-11-13 10:31:12,1934-11-12 21:49:18,25.35,398,0.062
1934-11-26 11:33:35,1934-11-27 01:51:17,1934-11-26 18:43:56,14.29,4897,0.769
1934-12-09 11:37:19,1934-12-10 07:44:07,1934-12-09 21:38:43,20.11,2746,0.431
1934-12-23 20:13:57,1934-12-24 04:54:47,1934-12-24 00:34:52,8.68,5877,0.922
1935-01-06 03:33:03,1935-01-06 21:40:41,1935-01-06 12:35:52,18.13,2175,0.341
1937-06-08 03:09:07,1937-06-08 14:35:55,1937-06-08 08:52:31,11.45,5043,0.792
1937-07-05 16:49:56,1937-07-06 13:05:38,1937-07-06 02:59:17,20.26,688,0.108
